Cluster	Canon-4	Canon-6	Canon-7	Canon-8_4008	Canon-10	Canon-12	Canon-14_3060	Canon-15	Canon-17	Canon-19	Canon-21_3053	Canon-23	Canon-25	Canon-27_3073	Canon-29_4003	Canon-31_3040	Canon-33_2027	Canon-34_2033	Canon-35	Canon-36_2024	Canon-38_1004.combined	Canon-40_3036.combined	Canon-42_2026.combined	Canon-43	Canon-44	Canon-45	Canon-46_4035	Canon-48	Canon-49	Canon-50	Canon-52	Canon-54	Canon-56	Canon-57	Canon-58
Arctic_Cluster_782	2	5	0	7	6	1	2	0	12	1	8	2	0	2	4	0	0	3	1	9	19	12	6	6	5	7	1	9	17	8	2	11	5	8	3
Arctic_Cluster_1016	3	1	0	8	2	0	1	0	5	0	3	1	0	5	12	1	0	4	0	3	34	33	6	1	0	5	1	8	16	21	1	4	0	0	2
Arctic_Cluster_165	5	5	0	5	11	3	0	0	15	2	14	1	0	3	3	2	0	4	3	3	17	11	14	3	16	8	0	4	10	5	4	4	3	2	0
Arctic_Cluster_1864	3	0	0	2	0	4	2	0	20	1	0	0	1	5	1	1	1	4	6	25	15	23	6	3	4	3	0	9	4	5	5	10	9	6	0
Arctic_Cluster_1437	5	4	0	3	6	5	0	0	8	0	9	0	1	6	8	1	0	5	2	5	20	19	5	3	9	4	1	4	11	5	8	7	5	5	3
Arctic_Cluster_30	12	6	0	1	7	6	1	0	16	0	7	2	0	2	3	5	0	3	5	3	9	16	15	2	5	13	0	9	5	4	3	7	2	3	1
Arctic_Cluster_311	5	6	1	2	4	5	5	0	23	0	3	1	0	1	0	0	2	6	3	4	1	8	6	4	7	9	2	12	4	3	10	14	13	3	3
Arctic_Cluster_959	5	0	0	11	14	2	2	0	3	1	14	0	0	4	9	1	0	1	2	3	18	15	6	1	7	6	0	3	12	7	6	4	4	4	5
Arctic_Cluster_717	1	4	0	6	16	1	0	0	19	2	14	0	0	6	3	1	2	2	2	3	5	12	5	2	11	11	0	8	6	11	4	5	1	4	2
Arctic_Cluster_156	8	5	0	0	2	10	4	0	13	0	4	1	1	3	1	1	1	4	4	4	6	22	12	3	3	6	1	9	8	5	6	10	10	1	0
Arctic_Cluster_723	3	3	0	9	4	2	6	0	3	0	12	3	0	3	7	0	1	2	1	4	31	24	6	2	5	4	1	4	10	6	1	3	3	3	2
Arctic_Cluster_1542	9	2	0	3	5	4	2	0	11	1	11	0	0	8	0	1	3	1	1	7	18	13	9	1	9	5	1	11	7	3	5	7	4	1	3
Arctic_Cluster_340	8	2	0	1	9	2	2	0	4	2	3	1	0	1	4	1	1	1	3	11	9	14	12	0	8	13	0	8	5	10	6	9	4	5	5
Arctic_Cluster_1419	3	1	0	2	7	6	2	0	8	1	8	0	0	4	6	3	1	3	1	3	19	20	7	4	5	4	1	5	11	4	7	4	6	2	4
Arctic_Cluster_781	2	2	0	5	13	4	0	0	7	0	11	2	0	1	4	2	1	0	3	6	13	10	11	2	9	12	1	5	12	9	4	5	3	0	2
Arctic_Cluster_946	3	4	0	3	19	3	2	0	17	0	13	1	0	4	3	2	0	1	2	3	10	10	7	4	9	5	1	3	7	7	8	5	2	0	2
Arctic_Cluster_707	5	1	0	7	1	1	0	0	5	0	9	0	0	6	4	0	0	1	1	7	32	26	1	1	0	2	0	8	20	9	3	3	1	1	2
Arctic_Cluster_726	7	5	0	3	5	0	2	0	6	0	5	0	0	2	3	0	0	3	1	6	21	29	2	1	6	2	1	8	7	14	4	3	4	2	3
Arctic_Cluster_359	7	4	1	2	4	6	1	0	11	0	3	0	0	4	0	1	3	1	2	5	11	26	10	1	2	2	1	7	5	4	4	8	11	4	1
Arctic_Cluster_146	5	6	0	3	5	4	1	0	13	0	4	4	1	3	4	1	1	3	5	6	8	7	8	6	5	6	1	5	7	3	5	13	3	0	3
Arctic_Cluster_1356	6	7	0	5	10	3	2	2	8	0	6	1	0	4	5	1	0	1	0	7	5	10	13	5	6	5	1	6	1	10	7	2	3	3	3
Arctic_Cluster_414	5	3	1	0	3	1	5	0	9	0	3	0	0	4	0	0	0	2	2	7	4	12	11	4	6	12	5	10	8	7	9	5	5	4	0
Arctic_Cluster_715	6	5	0	5	3	3	2	1	11	0	4	1	0	2	4	0	0	3	3	7	15	14	5	5	4	4	0	6	14	1	1	3	7	2	3
Arctic_Cluster_1795	16	4	0	0	2	5	4	1	13	0	0	0	1	11	1	0	3	5	1	23	0	2	8	3	1	2	1	13	3	0	7	4	3	5	0
Arctic_Cluster_19	7	7	1	1	3	4	4	0	7	0	1	0	0	8	1	2	3	2	0	4	4	11	6	2	1	11	0	15	8	1	3	7	11	6	0
Arctic_Cluster_433	8	3	0	4	7	1	1	0	11	0	7	1	0	4	4	2	0	4	6	5	8	9	8	3	5	5	0	5	5	6	7	1	2	4	4
